City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Padilla,CO,83.77,broken clouds,3.2204,-76.3139,La Granadina
308,Candia,US,76.48,overcast clouds,43.0779,-71.2767,Stephen Clay Homestead Bed and Breakfast
312,Hobyo,SO,78.28,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
314,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
317,Dingle,PH,77.11,light rain,10.9995,122.6711,SEGAYA PROPERTY
320,Kavieng,PG,82.71,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
324,Cayenne,GF,81.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
325,Kerema,PG,77.4,overcast clouds,-7.9631,145.7785,Frena Lodge
333,Waingapu,ID,75.67,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
334,San Juan,AR,79.74,scattered clouds,-31.5375,-68.5364,Hotel Provincial
337,Hirara,JP,82.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
339,Labuhan,ID,76.84,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
347,Kupang,ID,77.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
349,Alyangula,AU,75.16,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
350,Eureka,US,83.68,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
355,Coos Bay,US,88.86,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
359,Eyl,SO,79.61,overcast clouds,7.9803,49.8164,Amiin Hotel
360,Waddan,LY,83.89,broken clouds,29.1614,16.139,محل الشريف محمد العايب
362,Nago,JP,83.25,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
365,Bull Savanna,JM,80.29,broken clouds,17.8868,-77.5902,Big Red's
367,Itarema,BR,79.68,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
370,Tezu,IN,75.67,light rain,27.9167,96.1667,Circuit House
371,Bandarbeyla,SO,79.56,overcast clouds,9.4942,50.8122,JABIR HOTEL
372,Kudahuvadhoo,MV,83.23,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
373,Port Blair,IN,82.74,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
378,North Bend,US,77.99,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
379,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
381,Asgabat,TM,84.06,clear sky,37.95,58.3833,Oguzkent Hotel
382,Carutapera,BR,77.45,few clouds,-1.195,-46.02,Lidera
383,Kharan,PK,88.34,clear sky,28.5833,65.4167,Dil Aram Bangla
384,Tual,ID,81.75,broken clouds,-5.6667,132.75,Grand Vilia Hotel
386,Kalmunai,LK,79.29,overcast clouds,7.4167,81.8167,VS Villa
389,Dera Ghazi Khan,PK,89.53,clear sky,30.0561,70.6348,Hotel KFC One
393,Padang,ID,78.73,overcast clouds,-0.9492,100.3543,Mercure Padang
395,Puerto Ayacucho,VE,81.59,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
398,Amahai,ID,77.5,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
405,Fare,PF,81.12,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
409,Kulhudhuffushi,MV,82.24,overcast clouds,6.6221,73.07,Haajy Guest House 1
414,Carlyle,US,83.43,broken clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
421,Bahia Honda,CU,84.34,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
422,Aswan,EG,86.05,broken clouds,24.0934,32.907,Nuba Nile
425,Manoel Urbano,BR,82.31,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
428,Mlonggo,ID,77.31,broken clouds,-6.5333,110.7,Asia Metal Art
432,Isangel,VU,77.11,scattered clouds,-19.55,169.2667,Tanna Lodge
433,Inirida,CO,79.27,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
434,Sulphur Springs,US,83.98,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
435,Bubaque,GW,78.53,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
439,Ugoofaaru,MV,82.38,overcast clouds,5.6667,73.0,Ungoofaaru Inn
442,Dodge City,US,84.45,few clouds,37.7528,-100.0171,Windsor Inn & Suites
446,Bartlett,US,83.43,clear sky,35.2045,-89.874,Days Inn by Wyndham Memphis - I40 and Sycamore View
448,Ironton,US,75.92,moderate rain,38.5368,-82.6829,Best Western River Cities
457,Belmonte,BR,77.5,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
458,Tutoia,BR,80.38,broken clouds,-2.7619,-42.2744,Pousada Guará's
461,Baghmara,IN,86.59,clear sky,23.795,86.2085,Shankar tea shop
468,Ternate,ID,80.22,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
469,Alot,IN,85.82,broken clouds,23.7667,75.55,Hotel banthiya avenue
471,Charagua,BO,76.57,broken clouds,-19.8,-63.2167,Residencial Luismar
474,Lhokseumawe,ID,78.33,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
483,Presidencia Roque Saenz Pena,AR,77.13,scattered clouds,-26.7852,-60.4388,Hotel Gualok
485,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
488,Salaga,GH,80.55,scattered clouds,8.5508,-0.5188,Bore Nada Guest House
489,Chaves,US,86.59,clear sky,33.3834,-104.4505,Red Barn RV Park
490,Gimli,CA,85.05,overcast clouds,50.6336,-96.9907,Lakeview Gimli Resort
493,Tarauaca,BR,81.64,overcast clouds,-8.1614,-70.7656,Flat Temporada
496,La Ronge,CA,75.42,broken clouds,55.1001,-105.2842,Northland Motor Hotel
497,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
500,Aloleng,PH,81.28,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
505,Canutama,BR,82.26,clear sky,-6.5339,-64.3831,Hotel Jhennifer
511,Meadow Lake,US,87.48,overcast clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
515,Ucluelet,CA,79.05,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
522,Samarai,PG,79.23,broken clouds,-10.6167,150.6667,Nuli Sapi
523,Asaba,NG,78.55,scattered clouds,6.2006,6.7338,Crimson Suite Hotels
534,Khorramshahr,IR,89.56,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
540,Caiaponia,BR,75.02,scattered clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
547,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
549,Guatire,VE,77.5,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
553,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
562,Freeport,US,76.24,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
570,Lazaro Cardenas,MX,88.32,scattered clouds,17.9583,-102.2,quinta antigua
571,Springdale,US,80.42,broken clouds,36.1867,-94.1288,Springdale Inn
575,Stephenville,US,81.95,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
576,Olutanga,PH,82.56,overcast clouds,7.3106,122.8464,Morales Lodge
577,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
578,San Policarpo,PH,80.08,overcast clouds,12.1791,125.5072,JM Lodge
579,Princeton,US,84.0,light rain,25.5384,-80.4089,American Best Inn
590,Desterro,BR,75.4,broken clouds,-7.2906,-37.0939,HOTEL ENTRE RIOS
591,Namatanai,PG,81.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
593,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
595,Kailua,US,87.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
597,Tamiahua,MX,85.64,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
613,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
614,Balabac,PH,82.4,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
618,Alugan,PH,79.75,overcast clouds,12.2188,125.4808,JM Lodge
619,Harlingen,US,87.75,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
622,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
624,Urucui,BR,80.67,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
625,Santa Clara,CU,87.46,scattered clouds,22.4,-79.9667,El Carmen
627,Vanimo,PG,78.71,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
629,Sorong,ID,78.15,moderate rain,-0.8833,131.25,waigo splash hotel
631,Garowe,SO,80.04,overcast clouds,8.4054,48.4845,Curubo Hotel
632,Davila,PH,80.58,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
634,Rong Kwang,TH,76.77,overcast clouds,18.339,100.3174,Rong Kwang Hotel
636,Sechura,PE,75.11,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
637,Gigmoto,PH,81.34,overcast clouds,13.7796,124.39,Cj's Travellers Inn
640,Machalpur,IN,88.09,overcast clouds,24.1333,76.3,New Trimurti Bhojnalaya
642,Pedernales,DO,85.93,overcast clouds,18.0384,-71.744,Hotel Costa Marina
650,Portland,US,86.36,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
652,Sabang,ID,82.29,broken clouds,5.8933,95.3214,Hotel Citra
655,Porto De Moz,BR,75.72,light rain,-1.7483,-52.2383,Dormitório labelle
656,Supaul,IN,84.56,clear sky,26.1167,86.6,Shri ram guest house
659,Madang,PG,77.65,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
668,Pochutla,MX,86.85,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
671,Turan,VN,86.05,few clouds,16.0678,108.2208,Sun River Hotel
672,San Buenaventura,MX,87.48,broken clouds,27.0833,-101.5333,Hotel Gran Plaza
674,Lakatoro,VU,78.19,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
680,Menomonie,US,87.37,clear sky,44.8755,-91.9193,Best Western Plus Menomonie Inn & Suites
