City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Sitka,US,48.09,moderate rain,57.0531,-135.33,Westmark Sitka
444,Dubbo,AU,51.93,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
447,Krasnoslobodsk,RU,57.02,broken clouds,48.7072,44.5714,Mini-hotel Na Allee
454,Mehamn,NO,50.61,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
455,Khor,RU,53.31,light rain,47.8861,134.9464,Gostinitsa Deksi
465,Mbeya,TZ,56.39,overcast clouds,-8.9,33.45,Leda Lodge
467,Kholmogory,RU,46.51,scattered clouds,64.2229,41.656,Гостевая комната
470,Narsaq,GL,50.22,broken clouds,60.9167,-46.05,Narsaq Kayak Hostel
472,Uppsala,SE,54.91,clear sky,60.0,17.75,Läderskål
475,Hailar,CN,51.48,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
476,Chegdomyn,RU,50.65,moderate rain,51.1167,133.0167,Gostinitsa Bureya
479,Wangaratta,AU,49.15,overcast clouds,-36.3667,146.3333,Quality Hotel Wangaratta Gateway
480,Tandil,AR,57.31,light rain,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
486,Taiyuan,CN,51.66,clear sky,37.8694,112.5603,Jinjiang Inn
492,Timra,SE,55.11,few clouds,62.487,17.3257,Bergefors park
499,Yulara,AU,46.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
502,At-Bashi,KG,54.54,broken clouds,41.1702,75.8106,Hostel At-Bashy
504,Beidao,CN,53.62,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
507,Fjerritslev,DK,59.9,overcast clouds,57.0813,9.2664,Danhostel Fjerritslev
516,Tacuarembo,UY,56.64,scattered clouds,-31.7333,-55.9833,Complejo San Fructuoso
520,Saldanha,ZA,51.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
524,Mount Gambier,AU,48.11,broken clouds,-37.8333,140.7667,Commodore on the Park
528,Solnechnyy,RU,52.52,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
530,Wasilla,US,58.84,overcast clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
531,Khuzhir,RU,46.9,clear sky,53.1939,107.3397,Отель на озере Байкал Baikal View
535,Pirdop,BG,57.92,overcast clouds,42.7,24.1833,Kompleks Borova Gora (Sidi Grup Ad)
537,Parkes,AU,51.35,overcast clouds,-33.1333,148.1833,Station Motel
539,Ahipara,NZ,58.57,few clouds,-35.1667,173.1667,Ahipara Holiday Park
546,Peniche,PT,58.73,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
548,Hohhot,CN,53.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
552,Port Augusta,AU,54.72,clear sky,-32.5,137.7667,Majestic Oasis Apartments
554,Flinders,AU,59.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
555,Rawson,AR,47.75,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
561,Truro,GB,51.84,clear sky,50.2653,-5.0544,Mannings Hotel
564,Haapsalu,EE,56.01,broken clouds,58.9431,23.5414,Fra Mare Thalasso Spa
565,Viedma,AR,57.51,overcast clouds,-40.8135,-62.9967,Hotel Cristal
566,Bamiantong,CN,51.19,clear sky,44.9333,130.5333,Dehuiyuan Leisure Resort
568,Taonan,CN,55.9,overcast clouds,45.3333,122.7833,Makro Hotel
580,Vestmannaeyjar,IS,48.67,moderate rain,63.4427,-20.2734,Glamping & Camping
583,Kyzyl-Suu,KG,56.23,overcast clouds,42.3414,78.0056,Gostinitsa Nur-Ordo
586,Hammerfest,NO,50.45,clear sky,70.6634,23.6821,Skytterhuset
587,Zonguldak,TR,49.41,overcast clouds,41.25,31.8333,Süleyman Tez Ev
602,Voznesenye,RU,48.54,clear sky,61.0106,35.4781,Guesthouse Jakornaya
608,Paeroa,NZ,54.07,scattered clouds,-37.3667,175.6667,Racecourse Motel Paeroa
609,Necochea,AR,53.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
621,Santa Maria,BR,58.3,clear sky,-29.6842,-53.8069,Hotel Morotin
626,Ostersund,SE,59.61,scattered clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
630,Pavilosta,LV,53.55,overcast clouds,56.8879,21.1859,"Hotel ""Vēju paradīze"""
633,Haines Junction,CA,53.35,scattered clouds,60.7522,-137.5108,Parkside Inn
638,Tokmak,UA,54.46,overcast clouds,47.2514,35.7058,Дом приезжих
641,Alakurtti,RU,55.63,overcast clouds,66.9672,30.3491,Agroturystyka Gientosław
643,Aras,ES,57.72,scattered clouds,42.5617,-2.356,Jardines de Viana Spa
646,Esso,RU,50.04,overcast clouds,55.9333,158.7,Paramushir Tur
647,Olkhovatka,RU,54.28,light rain,50.2831,39.2872,Gostinnyy Dvorik
662,Evora,PT,58.14,clear sky,38.5667,-7.9,Hotel M'Ar de Ar Muralhas
664,Wakkanai,JP,54.34,moderate rain,45.4094,141.6739,Hyōsetsu-sō
666,Ilinskiy,RU,58.51,clear sky,55.619,38.1182,Around the world
669,Wufeng,CN,51.21,overcast clouds,27.45,104.8333,中山宾馆
675,Potosi,BO,46.76,scattered clouds,-19.5836,-65.7531,Hostal La Casona Potosí
676,Helong,CN,55.67,scattered clouds,42.5397,128.9972,Helong Hotel
677,Jiuquan,CN,59.7,clear sky,39.7432,98.5174,Jiuquan Hotel
