City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Qasigiannguit,GL,2021-06-03 22:06:58,68.8193,-51.1922,39.45,92,93,5.57,overcast clouds
53,Mataura,NZ,2021-06-03 22:07:00,-46.1927,168.8643,49.48,91,98,4.07,overcast clouds
54,Shirokiy,RU,2021-06-03 22:07:02,49.758,129.523,50.54,95,90,9.75,overcast clouds
55,Kenai,US,2021-06-03 22:07:04,60.5544,-151.2583,61.03,54,40,10.36,scattered clouds
56,Saint George,US,2021-06-03 22:07:05,37.1041,-113.5841,106.27,11,1,7.0,clear sky
57,Kawakawa,NZ,2021-06-03 22:07:06,-35.3833,174.0667,58.14,69,95,0.98,overcast clouds
58,Rabo De Peixe,PT,2021-06-03 22:07:08,37.8,-25.5833,62.11,72,20,5.21,few clouds
59,Busselton,AU,2021-06-03 22:07:09,-33.65,115.3333,49.08,83,11,6.06,few clouds
60,Kieta,PG,2021-06-03 22:07:10,-6.2167,155.6333,82.08,77,100,2.21,overcast clouds
61,Tabuk,PH,2021-06-03 22:07:12,17.4189,121.4443,77.83,77,56,2.46,broken clouds
62,Ushuaia,AR,2021-06-03 22:05:13,-54.8,-68.3,24.33,93,10,5.55,clear sky
63,Rikitea,PF,2021-06-03 22:06:17,-23.1203,-134.9692,72.57,65,89,15.86,overcast clouds
64,Saskylakh,RU,2021-06-03 22:07:16,71.9167,114.0833,33.8,100,100,10.13,light rain
65,Qaanaaq,GL,2021-06-03 22:07:18,77.484,-69.3632,28.71,83,28,2.91,scattered clouds
66,Irbeyskoye,RU,2021-06-03 22:07:19,55.6428,95.4522,59.99,87,84,8.79,light rain
67,Luderitz,NA,2021-06-03 22:07:20,-26.6481,15.1594,69.21,31,0,19.84,clear sky
68,Cockburn Town,TC,2021-06-03 22:07:22,21.4612,-71.1419,79.83,80,74,18.84,broken clouds
69,Kirakira,SB,2021-06-03 22:07:25,-10.4544,161.9205,80.24,87,100,7.58,overcast clouds
70,Gull Lake,CA,2021-06-03 22:07:27,50.1001,-108.4847,91.78,22,0,15.95,clear sky
71,Saint-Denis,FR,2021-06-03 22:07:28,48.9167,2.3333,68.14,86,0,3.44,clear sky
72,Dunedin,NZ,2021-06-03 22:07:30,-45.8742,170.5036,48.79,81,100,1.99,overcast clouds
73,Hermanus,ZA,2021-06-03 22:07:31,-34.4187,19.2345,55.8,76,100,9.48,overcast clouds
74,Diffa,NE,2021-06-03 22:07:32,13.3154,12.6113,91.8,18,90,5.64,overcast clouds
75,Otradnoye,RU,2021-06-03 22:07:34,59.7775,30.8181,59.05,81,15,4.7,few clouds
76,Kahului,US,2021-06-03 22:07:35,20.8947,-156.47,84.22,73,40,19.57,scattered clouds
77,Camana,PE,2021-06-03 22:07:36,-16.6228,-72.7111,65.19,78,95,2.95,overcast clouds
78,Ancud,CL,2021-06-03 22:07:38,-41.8697,-73.8203,51.42,90,100,10.6,light rain
79,Nemuro,JP,2021-06-03 22:07:39,43.3236,145.575,51.4,96,100,18.41,moderate rain
80,Lagoa,PT,2021-06-03 22:05:10,39.05,-27.9833,61.39,70,19,13.47,few clouds
81,Batemans Bay,AU,2021-06-03 22:07:42,-35.7167,150.1833,54.91,91,51,4.74,broken clouds
82,Nacala,MZ,2021-06-03 22:07:43,-14.5428,40.6728,71.44,85,7,1.45,clear sky
83,Santa Rosa,PH,2021-06-03 22:07:44,14.3122,121.1114,81.86,85,98,2.93,overcast clouds
84,Turgenevo,RU,2021-06-03 22:07:46,54.8455,46.3297,51.1,70,7,13.49,clear sky
85,Torbay,CA,2021-06-03 22:05:28,47.6666,-52.7314,57.63,68,71,7.23,broken clouds
86,Prince Rupert,CA,2021-06-03 22:07:48,54.3161,-130.3201,51.89,82,90,6.91,overcast clouds
87,San Patricio,US,2021-06-03 22:07:50,28.017,-97.5169,82.27,74,96,9.89,moderate rain
88,Upernavik,GL,2021-06-03 22:07:51,72.7868,-56.1549,35.04,69,10,2.75,clear sky
89,Khatanga,RU,2021-06-03 22:05:16,71.9667,102.5,32.16,89,100,5.84,overcast clouds
90,Udachnyy,RU,2021-06-03 22:06:07,66.4167,112.4,53.29,60,100,2.44,overcast clouds
91,Carnarvon,AU,2021-06-03 22:07:56,-24.8667,113.6333,51.87,93,1,10.36,clear sky
92,Albany,US,2021-06-03 22:05:39,42.6001,-73.9662,72.73,79,96,6.42,overcast clouds
93,Siena,IT,2021-06-03 22:07:58,43.2167,11.4,65.93,72,6,1.57,clear sky
94,Vila Do Maio,CV,2021-06-03 22:07:59,15.1333,-23.2167,74.19,84,17,17.45,few clouds
95,Borovichi,RU,2021-06-03 22:08:01,58.3878,33.9155,50.13,84,59,5.03,broken clouds
96,Tuktoyaktuk,CA,2021-06-03 22:05:01,69.4541,-133.0374,36.88,89,100,11.23,overcast clouds
97,Port Lincoln,AU,2021-06-03 22:08:03,-34.7333,135.8667,57.0,79,34,9.37,scattered clouds
98,East London,ZA,2021-06-03 22:08:05,-33.0153,27.9116,58.57,66,87,3.69,overcast clouds
99,Ponta Do Sol,PT,2021-06-03 22:08:06,32.6667,-17.1,65.03,51,49,8.1,scattered clouds
100,Longyearbyen,SJ,2021-06-03 22:08:08,78.2186,15.6401,35.44,75,75,5.75,broken clouds
101,Sur,OM,2021-06-03 22:06:10,22.5667,59.5289,91.15,45,0,11.63,clear sky
102,Tyumentsevo,RU,2021-06-03 22:08:10,53.3224,81.498,56.88,70,99,4.54,overcast clouds
103,Soyo,AO,2021-06-03 22:03:15,-6.1349,12.3689,77.29,88,54,8.57,broken clouds
104,Pacific Grove,US,2021-06-03 22:08:13,36.6177,-121.9166,91.06,77,1,5.01,clear sky
105,Adrar,MR,2021-06-03 22:08:14,20.5022,-10.0711,94.06,20,98,26.96,overcast clouds
106,Broken Hill,AU,2021-06-03 22:08:15,-31.95,141.4333,49.03,87,7,8.46,clear sky
107,Mahebourg,MU,2021-06-03 22:08:17,-20.4081,57.7,74.25,71,49,17.4,light rain
108,Hithadhoo,MV,2021-06-03 22:08:18,-0.6,73.0833,83.48,70,100,18.3,overcast clouds
109,Toktogul,KG,2021-06-03 22:08:19,41.8708,72.9402,62.8,65,0,2.35,clear sky
110,Urengoy,RU,2021-06-03 22:07:05,65.9667,78.3667,34.74,79,63,7.54,broken clouds
111,Port Elizabeth,ZA,2021-06-03 22:08:22,-33.918,25.5701,44.89,93,40,3.44,scattered clouds
112,Dhidhdhoo,MV,2021-06-03 22:08:24,6.8833,73.1,82.4,80,87,16.33,overcast clouds
113,Klyuchi,RU,2021-06-03 22:08:27,52.2667,79.1667,59.32,66,97,6.35,overcast clouds
114,Coihaique,CL,2021-06-03 22:08:28,-45.5752,-72.0662,43.41,96,92,6.82,overcast clouds
115,Pascagoula,US,2021-06-03 22:08:29,30.3658,-88.5561,83.05,80,20,8.75,few clouds
116,Srednekolymsk,RU,2021-06-03 22:08:31,67.45,153.6833,66.11,35,51,14.5,broken clouds
117,Nioro,GM,2021-06-03 22:08:32,13.35,-15.75,82.09,53,88,10.31,overcast clouds
118,Goure,NE,2021-06-03 22:08:33,13.9835,10.2704,89.8,14,10,6.51,clear sky
119,Lavrentiya,RU,2021-06-03 22:08:35,65.5833,-171.0,33.12,69,99,5.01,overcast clouds
120,Banes,CU,2021-06-03 22:08:36,20.9625,-75.7186,79.41,74,65,13.87,broken clouds
121,Camocim,BR,2021-06-03 22:08:37,-2.9022,-40.8411,79.9,77,11,12.95,few clouds
122,Imbituba,BR,2021-06-03 22:08:39,-28.24,-48.6703,62.49,87,3,4.79,clear sky
123,Muscat,OM,2021-06-03 22:04:04,23.6139,58.5922,94.1,45,1,3.87,clear sky
124,Barrow,US,2021-06-03 22:08:41,71.2906,-156.7887,33.82,75,90,17.27,overcast clouds
125,Puerto Ayora,EC,2021-06-03 22:08:42,-0.7393,-90.3518,78.76,85,43,8.99,scattered clouds
126,Vao,NC,2021-06-03 22:08:44,-22.6667,167.4833,71.78,72,56,14.94,broken clouds
127,Atar,MR,2021-06-03 22:08:45,20.5169,-13.0499,94.66,23,92,15.05,overcast clouds
128,Anadyr,RU,2021-06-03 22:08:46,64.75,177.4833,39.0,60,20,13.0,few clouds
129,Henties Bay,NA,2021-06-03 22:07:40,-22.116,14.2845,74.86,47,0,4.03,clear sky
130,Havoysund,NO,2021-06-03 22:07:48,70.9963,24.6622,50.88,78,12,15.21,few clouds
131,Chifeng,CN,2021-06-03 22:08:50,42.2683,118.9636,56.3,60,76,11.52,light rain
132,Bambous Virieux,MU,2021-06-03 22:05:24,-20.3428,57.7575,74.21,71,53,17.11,light rain
133,Manta,EC,2021-06-03 22:08:52,-0.95,-80.7333,80.38,74,75,8.05,broken clouds
134,Zarichne,UA,2021-06-03 22:08:55,51.8126,26.129,53.02,84,74,4.52,broken clouds
135,Marawi,PH,2021-06-03 22:06:09,7.9986,124.2928,67.64,93,89,2.77,overcast clouds
136,Tulum,MX,2021-06-03 22:04:49,20.2167,-87.4667,84.92,67,27,7.36,scattered clouds
137,Port-Gentil,GA,2021-06-03 22:08:58,-0.7193,8.7815,78.57,84,6,11.48,clear sky
138,Tautira,PF,2021-06-03 22:09:00,-17.7333,-149.15,84.0,83,54,16.69,light rain
139,Mosquera,CO,2021-06-03 22:09:01,4.7059,-74.2302,59.09,94,40,8.05,scattered clouds
140,Cervo,ES,2021-06-03 22:09:02,43.6702,-7.4101,50.97,76,27,2.15,scattered clouds
141,Kismayo,SO,2021-06-03 22:09:04,-0.3582,42.5454,78.51,84,75,17.0,broken clouds
142,Chernyshevskiy,RU,2021-06-03 22:09:05,63.0128,112.4714,62.89,46,94,2.57,overcast clouds
143,Bluff,NZ,2021-06-03 22:09:06,-46.6,168.3333,49.8,84,97,14.23,overcast clouds
144,Praia,CV,2021-06-03 22:09:08,14.9215,-23.5087,73.94,78,40,17.27,scattered clouds
145,Noumea,NC,2021-06-03 22:09:09,-22.2763,166.4572,71.01,99,3,3.04,clear sky
146,Sao Joao Da Barra,BR,2021-06-03 22:09:10,-21.6403,-41.0511,73.98,85,0,8.28,clear sky
147,Mogadishu,SO,2021-06-03 22:05:18,2.0371,45.3438,78.51,85,20,16.55,few clouds
148,Alihe,CN,2021-06-03 22:09:08,50.5667,123.7167,49.57,95,100,7.52,light rain
149,Atambua,ID,2021-06-03 22:09:14,-9.1061,124.8925,71.33,90,16,4.36,few clouds
150,Atuona,PF,2021-06-03 22:09:15,-9.8,-139.0333,79.3,82,48,18.43,light rain
151,Ventspils,LV,2021-06-03 22:09:17,57.3894,21.5606,53.53,87,0,0.0,clear sky
152,Virginia Beach,US,2021-06-03 22:07:44,36.8529,-75.978,73.47,94,100,1.99,moderate rain
153,Aksarka,RU,2021-06-03 22:09:19,66.5606,67.7975,34.9,69,74,9.98,broken clouds
154,Rockport,US,2021-06-03 22:05:29,28.0206,-97.0544,82.44,82,90,3.0,overcast clouds
155,Salalah,OM,2021-06-03 22:09:22,17.0151,54.0924,80.69,83,40,0.0,scattered clouds
156,Avarua,CK,2021-06-03 22:09:23,-21.2078,-159.775,82.45,69,75,10.36,broken clouds
157,Pokhara,NP,2021-06-03 22:09:24,28.2333,83.9833,72.37,72,69,4.47,broken clouds
158,Matadi,CD,2021-06-03 22:09:26,-5.8167,13.45,75.29,87,28,2.51,scattered clouds
159,Faanui,PF,2021-06-03 22:09:27,-16.4833,-151.75,80.04,78,51,9.42,light rain
160,Kodiak,US,2021-06-03 22:06:58,57.79,-152.4072,53.11,62,1,11.5,clear sky
161,Wamba,NG,2021-06-03 22:09:33,8.9333,8.6,75.15,85,99,4.07,light rain
162,Bumba,CD,2021-06-03 22:09:34,2.1833,22.4667,72.18,80,98,3.53,overcast clouds
163,Thurso,GB,2021-06-03 22:09:35,58.5927,-3.5259,52.05,86,46,12.19,scattered clouds
164,Tambacounda,SN,2021-06-03 22:09:37,13.7539,-13.7586,97.79,21,95,5.28,overcast clouds
165,Ca Mau,VN,2021-06-03 22:09:08,9.1769,105.15,79.32,90,69,3.38,broken clouds
166,Banjar,ID,2021-06-03 22:09:39,-8.19,114.9675,78.66,87,71,4.0,broken clouds
167,Port Hedland,AU,2021-06-03 22:09:12,-20.3167,118.5667,64.45,59,90,11.5,overcast clouds
168,Grindavik,IS,2021-06-03 22:09:42,63.8424,-22.4338,50.56,81,75,33.49,broken clouds
169,Hobart,AU,2021-06-03 22:09:44,-42.8794,147.3294,47.05,71,20,11.9,few clouds
170,Cherskiy,RU,2021-06-03 22:09:45,68.75,161.3,66.16,28,53,6.96,broken clouds
171,Victoria,HK,2021-06-03 22:08:43,22.2855,114.1577,86.32,89,100,4.0,overcast clouds
172,Beringovskiy,RU,2021-06-03 22:09:49,63.05,179.3167,35.35,82,80,4.23,broken clouds
173,Adre,TD,2021-06-03 22:09:50,13.4667,22.2,81.95,40,100,2.28,overcast clouds
174,Lobito,AO,2021-06-03 22:09:52,-12.3481,13.5456,74.41,86,7,4.85,clear sky
